Step, Mean reward
8192, 3.875
16384, 3.65625
24576, 4.65625
32768, 5.875
40960, 4.9375
49152, 5.8125
57344, 7.34375
65536, 8.5625
73728, 7.5625
81920, 9.5
90112, 10.0
98304, 12.84375
106496, 12.34375
114688, 12.0625
122880, 12.84375
131072, 14.375
139264, 14.09375
147456, 13.375
155648, 14.4375
163840, 13.9375
172032, 14.1875
180224, 14.875
188416, 14.0625
196608, 15.71875
204800, 15.0625
212992, 15.46875
221184, 17.75
229376, 16.03125
237568, 16.65625
245760, 15.4375
253952, 17.0625
262144, 16.125
270336, 18.15625
278528, 17.21875
286720, 17.4375
294912, 18.3125
303104, 17.125
311296, 17.15625
319488, 18.34375
327680, 16.71875
335872, 17.5625
344064, 17.125
352256, 18.84375
360448, 18.25
368640, 18.65625
376832, 17.5
385024, 18.625
393216, 17.90625
401408, 20.3125
409600, 19.59375
417792, 18.0
425984, 20.59375
434176, 21.15625
442368, 18.375
450560, 19.75
458752, 19.84375
466944, 19.40625
475136, 18.625
483328, 19.46875
491520, 20.0625
499712, 20.3125
507904, 21.21875
516096, 20.8125
524288, 19.59375
532480, 20.28125
540672, 19.5625
548864, 21.46875
557056, 20.15625
565248, 21.09375
573440, 19.1875
581632, 19.75
589824, 20.84375
598016, 21.0625
606208, 19.5
614400, 19.71875
622592, 21.96875
630784, 21.8125
638976, 20.5625
647168, 21.21875
655360, 21.84375
663552, 20.15625
671744, 21.03125
679936, 20.8125
688128, 21.59375
696320, 21.125
704512, 21.03125
712704, 22.40625
720896, 21.9375
729088, 22.34375
737280, 20.78125
745472, 20.875
753664, 21.4375
761856, 21.34375
770048, 22.9375
778240, 22.09375
786432, 22.9375
794624, 22.625
802816, 21.0
811008, 21.75
819200, 23.0625
827392, 21.5625
835584, 20.9375
843776, 22.1875
851968, 21.40625
860160, 22.0625
868352, 23.6875
876544, 22.84375
884736, 22.40625
892928, 23.96875
901120, 22.40625
909312, 21.375
917504, 23.3125
925696, 21.34375
933888, 22.75
942080, 21.34375
950272, 22.15625
958464, 22.03125
966656, 21.625
974848, 21.9375
983040, 23.3125
991232, 22.71875
999424, 23.25
1007616, 22.03125
1015808, 22.375
1024000, 23.59375
1032192, 23.15625
1040384, 21.28125
1048576, 22.5625
1056768, 24.21875
1064960, 22.46875
1073152, 24.71875
1081344, 22.21875
1089536, 23.59375
1097728, 21.59375
1105920, 22.03125
1114112, 22.53125
1122304, 22.5
1130496, 22.375
1138688, 21.21875
1146880, 21.5625
1155072, 21.8125
1163264, 23.4375
1171456, 22.03125
1179648, 25.0625
1187840, 22.71875
1196032, 24.03125
1204224, 22.9375
1212416, 23.75
1220608, 23.4375
1228800, 24.125
1236992, 23.75
1245184, 24.96875
1253376, 23.40625
1261568, 22.1875
1269760, 24.25
1277952, 23.25
1286144, 23.46875
1294336, 25.1875
1302528, 24.46875
1310720, 23.78125
1318912, 23.59375
1327104, 22.8125
1335296, 23.625
1343488, 23.5625
1351680, 22.34375
1359872, 22.875
1368064, 23.40625
1376256, 21.84375
1384448, 23.84375
1392640, 24.0625
1400832, 24.625
1409024, 22.65625
1417216, 23.71875
1425408, 23.71875
1433600, 24.9375
1441792, 24.53125
1449984, 22.75
1458176, 23.53125
1466368, 23.375
1474560, 23.84375
1482752, 24.84375
1490944, 23.8125
1499136, 22.96875
1507328, 23.40625
1515520, 22.03125
1523712, 25.25
1531904, 22.78125
1540096, 24.4375
1548288, 24.15625
1556480, 23.6875
1564672, 24.09375
1572864, 23.5625
1581056, 26.03125
1589248, 23.4375
1597440, 24.84375
1605632, 24.0
1613824, 24.9375
1622016, 23.71875
1630208, 26.25
1638400, 25.5625
1646592, 24.1875
1654784, 24.5625
1662976, 24.0
1671168, 24.625
1679360, 24.6875
1687552, 24.84375
1695744, 25.0625
1703936, 24.84375
1712128, 23.96875
1720320, 25.78125
1728512, 24.5625
1736704, 23.53125
1744896, 25.0625
1753088, 23.8125
1761280, 23.96875
1769472, 22.46875
1777664, 24.65625
1785856, 25.59375
1794048, 22.46875
1802240, 24.25
1810432, 23.53125
1818624, 23.84375
1826816, 23.0625
1835008, 24.125
1843200, 25.0625
1851392, 24.09375
1859584, 25.25
1867776, 23.90625
1875968, 25.28125
1884160, 26.6875
1892352, 24.03125
1900544, 25.5
1908736, 23.65625
1916928, 23.78125
1925120, 24.21875
1933312, 26.46875
1941504, 23.28125
1949696, 24.0
1957888, 23.65625
1966080, 24.75
1974272, 24.25
1982464, 23.09375
1990656, 25.65625
1998848, 24.34375
2007040, 24.25
2015232, 25.34375
2023424, 24.59375
2031616, 25.0
2039808, 24.09375
2048000, 24.8125
2056192, 24.8125
2064384, 23.8125
2072576, 26.34375
2080768, 25.6875
2088960, 27.1875
2097152, 24.90625
2105344, 24.40625
2113536, 25.53125
2121728, 23.875
2129920, 24.15625
2138112, 24.9375
2146304, 24.75
2154496, 25.6875
2162688, 25.21875
2170880, 25.28125
2179072, 23.90625
2187264, 25.9375
2195456, 23.5
2203648, 26.09375
2211840, 25.0625
2220032, 26.65625
2228224, 25.5625
2236416, 26.6875
2244608, 26.625
2252800, 25.5625
2260992, 26.375
2269184, 25.84375
2277376, 25.90625
2285568, 25.71875
2293760, 26.21875
2301952, 24.96875
2310144, 26.6875
2318336, 25.3125
2326528, 24.5
2334720, 25.3125
2342912, 25.625
2351104, 26.125
2359296, 26.21875
2367488, 24.65625
2375680, 25.25
2383872, 26.875
2392064, 23.6875
2400256, 25.59375
2408448, 24.53125
2416640, 25.8125
2424832, 26.46875
2433024, 26.71875
2441216, 25.9375
2449408, 25.59375
2457600, 26.21875
2465792, 26.25
2473984, 25.3125
2482176, 25.8125
2490368, 26.8125
2498560, 27.75
2506752, 26.6875
2514944, 27.03125
2523136, 26.1875
2531328, 25.53125
2539520, 27.59375
2547712, 25.28125
2555904, 26.40625
2564096, 25.65625
2572288, 26.1875
2580480, 24.5625
2588672, 27.46875
2596864, 27.34375
2605056, 26.5
2613248, 25.375
2621440, 26.1875
2629632, 26.96875
2637824, 26.0
2646016, 26.875
2654208, 25.46875
2662400, 25.46875
2670592, 24.5625
2678784, 25.90625
2686976, 26.46875
2695168, 26.3125
2703360, 25.03125
2711552, 25.6875
2719744, 26.21875
2727936, 26.03125
2736128, 25.6875
2744320, 24.53125
2752512, 25.90625
2760704, 26.96875
2768896, 26.15625
2777088, 26.8125
2785280, 25.90625
